# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "reference/annot.gtf" "-o" "counts/counts.txt" "-p" "-B" "-C" "-s" "2" "-T" "4" "alignment/WT_1A.sorted.bam" "alignment/WT_1B.sorted.bam" "alignment/WT_1C.sorted.bam" "alignment/WT_2A.sorted.bam" "alignment/WT_2B.sorted.bam" "alignment/WT_2C.sorted.bam" "alignment/WT_3A.sorted.bam" "alignment/WT_3B.sorted.bam" "alignment/WT_3C.sorted.bam" "alignment/WT_4A.sorted.bam" "alignment/WT_4B.sorted.bam" "alignment/WT_4C.sorted.bam" "alignment/rrp6_1A.sorted.bam" "alignment/rrp6_1B.sorted.bam" "alignment/rrp6_1C.sorted.bam" "alignment/rrp6_2A.sorted.bam" "alignment/rrp6_2B.sorted.bam" "alignment/rrp6_2C.sorted.bam" "alignment/rrp6_3A.sorted.bam" "alignment/rrp6_3B.sorted.bam" "alignment/rrp6_3C.sorted.bam" "alignment/rrp6_4A.sorted.bam" "alignment/rrp6_4B.sorted.bam" "alignment/rrp6_4C.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignment/WT_1A.sorted.bam	alignment/WT_1B.sorted.bam	alignment/WT_1C.sorted.bam	alignment/WT_2A.sorted.bam	alignment/WT_2B.sorted.bam	alignment/WT_2C.sorted.bam	alignment/WT_3A.sorted.bam	alignment/WT_3B.sorted.bam	alignment/WT_3C.sorted.bam	alignment/WT_4A.sorted.bam	alignment/WT_4B.sorted.bam	alignment/WT_4C.sorted.bam	alignment/rrp6_1A.sorted.bam	alignment/rrp6_1B.sorted.bam	alignment/rrp6_1C.sorted.bam	alignment/rrp6_2A.sorted.bam	alignment/rrp6_2B.sorted.bam	alignment/rrp6_2C.sorted.bam	alignment/rrp6_3A.sorted.bam	alignment/rrp6_3B.sorted.bam	alignment/rrp6_3C.sorted.bam	alignment/rrp6_4A.sorted.bam	alignment/rrp6_4B.sorted.bam	alignment/rrp6_4C.sorted.bam
YGL106W	VII	306560	307009	+	450	2250	2500	2375	2410	2618	2564	2746	2816	2816	3058	3075	3164	1870	1918	1966	2202	2413	2317	2265	2375	2335	2502	2647	2811
YGR284C	VII	1060658	1061590	-	933	2433	2684	2703	2393	2706	2804	3128	3319	3313	3487	3578	3731	1989	2311	2309	2311	2594	2571	2724	2534	2658	2624	2707	2736
YGR032W	VII	548264	553951	+	5688	2283	2621	2580	4667	4943	5333	3860	4010	4158	5365	5801	6003	1715	1985	1853	2663	2802	2824	2289	2442	2309	2649	2760	2937
YGR174C	VII	845893	846405	-	513	151	151	157	253	225	248	236	279	273	302	288	276	141	177	188	223	266	253	227	227	233	277	266	276
YGR208W	VII	911883	912812	+	930	2482	2628	2775	1822	1870	2070	1878	2102	2077	2272	2432	2586	1539	1677	1551	1577	1737	1720	1505	1537	1435	1463	1635	1613
YGL016W	VII	461666	464911	+	3246	2355	2701	2682	2870	2986	3054	2343	2289	2404	2365	2491	2696	3547	3494	3952	3617	4165	4273	3262	3625	3609	4091	4429	4603
YGR255C	VII	1002523	1003962	-	1440	964	1002	1061	1166	1295	1315	1098	1303	1226	1598	1625	1565	793	718	739	1159	1254	1246	1151	1210	1064	1314	1407	1373
YGR146C-A	VII	785276	785437	-	162	8	10	13	10	14	13	15	16	15	14	10	12	26	40	30	26	28	39	40	45	24	35	29	18
YGL194C	VII	140368	141726	-	1359	856	909	857	811	1016	1010	958	1038	1072	1171	1316	1309	770	848	944	937	1076	1082	951	1071	1075	1220	1131	1141
YGL138C	VII	248494	249531	-	1038	0	2	0	2	2	0	5	5	4	2	3	2	4	2	1	2	3	0	4	4	2	5	13	2
YGR091W	VII	666341	667825	+	1485	683	741	771	588	606	524	658	666	708	706	801	847	610	713	650	626	623	601	589	686	730	661	685	734
YGR200C	VII	899904	902270	-	2367	3052	3281	3254	2429	2756	2733	2222	2272	2246	2674	2922	2966	2884	3074	3326	2529	2803	2861	2179	2309	2312	2827	3148	3229
YGR191W	VII	880420	882231	+	1812	2463	2835	2892	2553	2751	2788	2308	2417	2506	2783	2960	2903	2114	2280	2288	1917	2092	2193	1866	2115	2155	2137	2370	2365
YGR270C-A	VII	1027382	1027600	-	219	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
YGL227W	VII	69671	72547	+	2877	555	608	553	860	1041	961	1054	988	1035	1304	1462	1325	390	375	421	930	1045	1038	821	720	740	896	1080	1076
YGR081C	VII	643148	643780	-	633	1059	1110	1156	791	852	917	822	926	867	1051	1099	1056	946	981	1068	776	868	884	742	902	935	816	915	968
YGL243W	VII	43307	44509	+	1203	406	352	380	376	409	437	396	398	478	489	493	486	307	329	399	374	344	406	381	431	408	424	390	392
YGL194C-A	VII	139719	139961	-	243	130	131	126	141	99	132	134	153	146	174	118	160	188	221	172	194	192	183	239	262	245	251	200	245
YGR148C	VII	787312	787779	-	468	16773	18504	19074	17247	18836	19142	18273	19919	19545	17620	18572	18902	13769	15057	15543	17083	17894	18203	16769	18064	17965	18016	19516	19722
YGL136C	VII	252897	253859	-	963	338	412	400	393	391	474	455	503	511	531	632	687	286	335	272	368	473	461	405	388	433	465	448	426
YGR276C	VII	1043819	1045480	-	1662	1370	1461	1487	1314	1530	1393	1480	1563	1625	1841	1936	1994	1159	1333	1242	1256	1422	1440	1478	1534	1539	1484	1757	1701
YGL129C	VII	267723	269075	-	1353	1616	1734	1702	1386	1434	1544	1605	1736	1694	2177	2260	2182	996	1083	1087	1111	1328	1282	1181	1254	1382	1386	1600	1532
tR(UCU)G2	VII	828723	828794	-	72	13	23	29	17	28	31	23	22	22	12	15	19	24	25	38	24	38	37	17	21	24	30	28	34
YGR053C	VII	594986	595837	-	852	97	101	92	113	156	153	141	171	224	206	275	247	82	66	81	119	153	155	136	185	145	143	153	180
YGR069W	VII	627083	627418	+	336	2	10	14	13	11	16	6	10	4	10	14	6	68	49	84	70	67	65	51	64	71	66	91	74
YGL224C	VII	78015	78857	-	843	664	681	726	718	679	695	755	777	701	853	941	946	813	786	876	889	920	922	845	945	869	1123	1193	1185
YGL193C	VII	141916	142227	-	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL020C	VII	457163	457870	-	708	617	683	683	684	650	697	685	761	733	799	717	889	479	538	541	452	565	573	493	545	564	592	662	678
YGL177W	VII	167559	167906	+	348	116	94	119	101	131	101	140	144	115	93	124	154	116	112	113	105	143	119	105	108	110	131	109	130
YGL189C	VII	148229	148588	-	360	30288	33338	33553	37162	39658	40883	39980	42077	43704	37716	40157	41121	24702	27133	27613	38249	40704	41454	40988	44070	44256	41222	44100	44866
YGR122W	VII	733935	735143	+	1209	527	527	511	705	648	677	704	780	809	799	897	862	414	448	478	708	864	788	706	688	781	713	841	866
YGL003C	VII	492474	494174	-	1701	938	1037	1033	947	919	993	950	1001	1005	1207	1201	1258	845	902	925	786	815	821	798	799	867	921	994	970
YGR210C	VII	913503	914738	-	1236	847	894	900	925	1046	1041	962	995	1094	1132	1231	1217	865	933	967	898	1030	1017	744	810	833	939	1117	986
tG(GCC)G1	VII	845649	845719	+	71	5	14	12	6	6	3	10	6	4	4	6	6	10	4	6	4	6	9	10	8	15	4	3	4
YGR079W	VII	640720	641832	+	1113	1162	1249	1391	556	683	681	698	687	603	664	672	797	1053	1250	1223	477	531	463	596	545	544	373	504	482
YGL115W	VII	292033	293001	+	969	1950	2160	2112	2231	2303	2348	2345	2556	2541	2410	2675	2665	1931	2025	2220	2195	2451	2422	2410	2666	2509	2733	2838	2940
YGL105W	VII	307437	308567	+	1131	9444	10260	10536	10943	11475	11764	9647	10434	10581	10941	11408	11544	6889	7665	7779	9067	9911	9610	8036	8397	8652	9488	10490	10500
YGR026W	VII	532985	533821	+	837	2574	2817	2846	2783	2996	2879	3048	3345	3440	3231	3259	3346	2127	2262	2202	2502	2752	2738	2687	2870	2889	2723	3039	3202
YGR087C	VII	651290	652981	-	1692	14	18	22	39	43	36	34	40	37	45	34	29	30	37	40	52	50	46	45	51	42	52	50	69
YGR278W	VII	1046731	1048464	+	1734	655	763	700	548	591	709	545	602	653	816	760	803	666	726	727	522	645	577	576	654	652	637	758	755
YGR042W	VII	579476	580291	+	816	460	453	428	467	491	491	535	517	508	596	660	712	314	363	380	458	486	469	432	444	453	448	502	550
YGR043C	VII	580435	581436	-	1002	83	89	106	242	204	252	312	320	343	362	346	372	85	130	100	315	326	297	416	401	368	270	320	309
YGL165C	VII	191398	191976	-	579	3	5	3	2	4	7	3	2	1	2	4	4	14	4	6	2	6	7	4	6	9	2	1	3
YGR110W	VII	713709	715046	+	1338	29	21	21	47	51	48	63	56	55	61	89	63	19	15	12	40	50	62	58	58	49	40	52	44
YGR089W	VII	656960	659770	+	2811	2040	2083	2077	1603	1841	1865	1796	1912	1867	1750	1967	2057	1855	2119	1964	1758	1789	1825	1755	1893	1928	2028	1967	2297
YGL158W	VII	207033	208571	+	1539	87	94	129	195	231	257	220	173	201	293	250	321	68	99	98	223	233	205	206	206	186	339	391	307
YGR262C	VII	1016974	1017759	-	786	527	555	575	600	557	664	635	743	692	770	766	886	442	497	561	589	570	594	584	607	595	703	690	681
YGL200C	VII	122694	123305	-	612	4127	4414	4579	4464	4880	4813	4956	5544	5237	5337	5693	5662	3059	3298	3361	4096	4145	4340	4144	4232	4404	4679	5092	5045
YGL117W	VII	288512	289309	+	798	300	367	311	350	428	462	531	570	548	814	931	943	139	188	137	268	336	263	324	330	362	388	383	373
YGL186C	VII	151037	152776	-	1740	907	976	1020	1119	1151	1219	1163	1365	1452	1652	1740	1691	659	723	751	869	908	971	775	872	817	800	854	845
YGR010W	VII	511545	512732	+	1188	548	562	554	601	643	697	749	738	756	979	1020	1099	255	314	352	403	404	399	353	429	453	484	536	534
YGR198W	VII	894693	897146	+	2454	3235	3470	3506	2757	2973	3042	2718	3014	3022	3059	3243	3296	3136	3397	3495	2752	2995	3131	2961	3231	3059	3045	3487	3357
YGR137W	VII	762888	763262	+	375	126	113	137	145	148	145	154	139	165	180	144	204	89	88	106	131	162	141	127	120	123	164	152	168
YGL058W	VII	393986	394504	+	519	1347	1539	1485	1315	1541	1445	1545	1571	1768	1628	1911	1882	1186	1290	1353	1383	1469	1496	1396	1654	1504	1479	1501	1437
YGL226W	VII	73340	73711	+	372	94	91	113	101	125	145	204	150	154	173	178	235	115	139	114	122	157	153	128	130	164	163	154	160
YGL055W	VII	398628	400160	+	1533	43976	47938	48881	37631	40815	41376	39572	41653	43047	39436	41531	42956	44831	48168	49645	39069	41613	42245	56249	60965	61820	43077	45981	47012
YGL184C	VII	154615	156012	-	1398	53	100	103	309	368	366	277	313	272	325	336	309	122	154	132	817	915	914	912	1067	1053	1155	1219	1206
YGL024W	VII	449788	450123	+	336	6	0	2	0	2	0	4	0	0	0	0	2	1	4	0	4	8	2	3	5	1	6	0	1
tV(AAC)G3	VII	73829	73902	-	74	8	3	9	1	1	5	2	13	11	3	3	3	5	2	9	1	3	5	4	2	6	1	1	4
YGL151W	VII	217524	220922	+	3399	1523	1840	1779	2010	1909	2095	1692	1751	1920	1645	1717	1747	1551	1758	1769	1826	1856	1956	1710	1818	1824	1978	2186	2202
YGR101W	VII	693363	694403	+	1041	406	478	516	523	600	599	631	637	610	767	749	803	359	416	449	495	535	605	543	634	598	697	734	756
YGL230C	VII	63772	64215	-	444	24	19	18	12	9	16	31	13	10	12	23	21	29	23	24	22	37	20	34	36	41	25	36	19
YGR103W	VII	695417	697234	+	1818	16891	18027	18439	12200	13118	13554	13358	14395	14798	14681	15778	16379	15081	16832	16670	12209	13375	13376	14399	15287	15423	14832	15883	16268
YGR096W	VII	676621	677565	+	945	159	182	160	137	177	136	117	160	132	151	168	176	212	162	241	173	174	206	160	196	200	195	241	241
YGR112W	VII	717358	718527	+	1170	424	471	485	488	636	616	701	814	741	855	898	901	296	320	300	549	546	585	556	574	682	606	654	660
tI(AAU)G	VII	739122	739195	+	74	2	3	8	8	3	5	14	8	4	4	4	0	12	5	9	5	5	5	6	7	9	7	5	2
YGL013C	VII	469092	472298	-	3207	2192	2346	2446	2266	2508	2606	2113	2270	2330	2669	2821	2951	2146	2355	2345	2197	2443	2414	1881	2091	2006	2420	2579	2617
YGL076C	VII;VII;VII	364335;365433;365986	364964;365526;365996	-;-;-	735	27910	30418	30589	28802	30665	31388	25585	27581	27467	25338	26747	27718	22586	24633	24843	27601	29499	30185	25481	27334	27809	29202	31160	31140
YGR067C	VII	622372	624786	-	2415	106	72	95	123	150	186	153	145	184	209	234	192	105	96	74	148	202	201	170	184	176	273	299	286
YGR094W	VII	672186	675500	+	3315	23475	25573	26060	26262	27683	28446	20537	22196	22428	24319	25863	26356	18496	20785	20942	21539	22750	23280	18192	19431	19792	24269	25900	25671
YGL226C-A	VII;VII	72749;73138	72988;73158	-;-	261	846	897	887	851	911	928	878	867	889	851	836	870	686	747	759	711	773	800	667	779	801	770	833	776
YGR045C	VII	583934	584296	-	363	38	34	32	38	43	45	62	71	53	62	60	61	72	70	59	51	79	63	87	92	85	70	74	92
YGR175C	VII	846933	848423	-	1491	10634	11370	11586	8727	9669	9801	8878	9271	9808	9083	9762	9643	8757	9552	9593	8018	8371	8694	8190	8581	8993	9252	9965	10188
YGL008C	VII	479910	482666	-	2757	92818	100914	102597	80629	87335	88172	62632	67054	68460	78336	83964	85165	83806	91736	93558	81709	88772	90383	64043	68267	70393	92939	99358	100937
YGR115C	VII	720372	721151	-	780	0	0	0	4	0	2	0	0	0	1	0	0	0	0	2	0	0	4	0	0	4	0	0	0
YGR108W	VII	703636	705051	+	1416	1478	1449	1595	1065	1159	1181	1304	1390	1311	1285	1384	1533	1267	1416	1417	993	1029	1060	1027	1034	999	1075	1221	1220
YGR218W	VII	932541	935795	+	3255	5569	5941	6047	5854	6096	6215	4022	4293	4436	5121	5406	5347	5329	6087	5895	5663	6206	6621	4643	4866	4928	5945	6412	6633
YGR205W	VII	909213	910085	+	873	639	800	815	1007	1124	1118	1284	1333	1428	1494	1679	1617	575	598	620	1189	1250	1268	1358	1559	1502	1660	1692	1701
YGL073W	VII	368753	371254	+	2502	826	790	975	913	953	1075	729	784	723	983	1011	1052	661	766	723	882	981	941	617	641	678	854	875	1003
YGL009C	VII	476313	478652	-	2340	11945	12514	12971	16308	17713	18046	11605	12442	12745	10872	11878	12245	21169	22521	23307	29971	32354	33252	28739	30170	31435	38985	41773	42215
YGL095C	VII	328874	330607	-	1734	926	1075	1139	1152	1212	1249	1345	1359	1483	1457	1566	1743	958	1096	960	1231	1293	1298	1283	1320	1331	1418	1472	1485
YGL137W	VII;VII	249869;250087	249886;252738	+;+	2670	7880	8323	8581	8983	9352	9653	7282	7677	7822	9157	9829	10333	6054	6857	6612	8224	8666	8799	6030	6272	6597	8236	8888	8913
YGL214W	VII	90010	90495	+	486	2	2	0	4	0	2	0	2	0	0	0	1	5	2	2	8	0	0	0	0	0	0	0	0
YGR105W	VII	698599	698832	+	234	1121	1148	1289	906	1032	1068	1204	1268	1324	1105	1148	1130	878	1053	1075	905	1000	1025	1058	1061	1135	951	1071	1189
YGR001C	VII;VII;VII	497133;497459;498000	497365;497937;498034	-;-;-	747	1533	1630	1719	1474	1559	1562	1547	1647	1731	1789	1981	1958	1453	1566	1562	1456	1561	1640	1743	1739	1984	1897	2012	2164
tK(UUU)G1	VII;VII	115488;115548	115524;115583	+;+	73	5	15	14	2	8	0	6	10	16	8	7	2	11	10	27	8	25	15	18	14	26	13	14	9
YGL217C	VII	84839	85180	-	342	0	0	0	0	2	3	2	0	2	2	2	1	0	0	2	4	0	2	4	2	4	4	0	2
YGL173C	VII	175527	180113	-	4587	9580	10392	10643	11169	11651	12228	8053	8057	8619	11118	12008	12019	8515	9434	9243	10124	10911	11114	7391	7622	7654	10567	11528	11210
YGL086W	VII	347119	349368	+	2250	1484	1697	1657	1298	1443	1368	1454	1511	1502	1627	1630	1702	1194	1357	1331	1179	1226	1303	1185	1276	1278	1355	1350	1531
YGR223C	VII	940869	942215	-	1347	874	865	819	927	1036	1109	1037	1229	1133	1388	1435	1473	678	767	774	966	1009	1014	1054	1105	1133	1052	1204	1349
tS(AGA)G	VII	561662	561743	-	82	10	10	15	2	4	8	6	6	4	6	0	8	6	16	12	6	8	7	11	9	8	3	2	1
YGR077C	VII	637744	639513	-	1770	660	732	665	674	719	809	690	687	673	832	700	882	462	526	482	635	642	671	489	481	535	573	668	640
YGL052W	VII	403437	403742	+	306	21	19	19	23	32	38	22	37	27	31	31	28	2	13	6	20	24	20	24	22	17	21	18	11
YGR285C	VII	1061852	1063153	-	1302	17419	18412	19308	16816	18084	18592	15659	17013	17062	18450	19146	19885	13234	14459	15003	15291	16306	16646	13282	14529	14737	16613	17701	17917
YGL080W	VII	358636	359028	+	393	1125	1235	1346	1131	1188	1274	1265	1581	1541	1429	1593	1486	1094	1111	1125	1209	1406	1289	1419	1522	1606	1529	1561	1792
YGL207W	VII	98969	102076	+	3108	4612	4914	5016	5552	6136	5920	4510	4656	4803	5233	5731	5785	3813	4157	4400	4542	4851	4703	3428	3645	3609	4633	4983	5012
YGR261C	VII	1014321	1016750	-	2430	3204	3521	3542	3283	3524	3653	3132	3222	3356	3817	4291	4141	2648	2909	2980	3149	3358	3525	2959	3122	3043	3493	3496	3793
YGR226C	VII	946792	947001	-	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
YGL140C	VII	241353	245012	-	3660	2870	2917	3094	2696	2859	2891	2590	2832	2860	2994	3145	3298	2546	2896	2857	2426	2406	2643	2292	2567	2640	2789	2991	2920
YGL078C	VII	360288	361859	-	1572	6178	6980	7006	4453	4766	4845	4154	4648	4612	5238	5679	5757	5364	5857	6263	4236	4787	4672	4668	4975	4860	5403	5602	5804
YGL199C	VII	123572	124042	-	471	17	33	29	26	48	43	58	34	40	26	23	20	54	95	86	125	114	104	115	112	114	82	111	130
YGR164W	VII	828625	828960	+	336	3	0	0	0	0	1	1	0	0	0	0	2	0	0	2	2	2	0	8	2	2	1	1	1
YGR150C	VII	790459	793053	-	2595	1745	1865	1901	1430	1675	1696	1755	1772	1830	1864	1905	2164	1500	1608	1676	1269	1480	1284	1402	1556	1649	1450	1504	1450
YGL006W-A	VII	485423	485533	+	111	39	35	34	39	30	37	40	45	38	55	52	70	25	28	21	37	36	36	42	30	38	40	45	65
YGR196C	VII	889733	892186	-	2454	797	823	796	827	864	923	881	914	910	1061	1230	1336	749	728	821	868	881	911	748	883	861	901	1016	990
YGL197W	VII	124698	129161	+	4464	1963	2167	2141	2960	3174	3389	2117	2143	2264	2670	2636	2637	1811	1829	1905	2597	2891	2910	1744	1853	1949	2558	2605	2714
YGR136W	VII	762428	763153	+	726	691	716	805	772	935	865	1025	1006	1000	1095	1147	1212	540	599	649	876	881	984	826	860	949	837	991	984
YGR153W	VII	796092	796745	+	654	106	128	133	111	140	115	106	183	168	121	179	168	125	142	99	139	141	90	113	116	114	92	90	132
YGL159W	VII	202721	203833	+	1113	591	628	647	606	608	603	679	716	630	669	747	745	524	554	584	572	581	623	604	674	642	610	664	651
YGR286C	VII	1063813	1064940	-	1128	1790	1861	1824	1536	1617	1585	1464	1616	1567	1269	1279	1255	1875	2020	2247	1858	1984	2035	2583	2806	2747	2173	2231	2345
YGL254W	VII	22304	23203	+	900	471	465	480	410	400	490	392	470	439	536	529	587	384	400	399	321	395	407	332	347	387	424	454	461
tH(GUG)G1	VII	110625	110696	-	72	6	4	4	10	5	6	5	1	6	2	3	6	12	6	2	4	0	5	3	3	4	4	9	3
YGR023W	VII	529264	530919	+	1656	312	335	398	656	704	714	489	509	547	511	483	508	220	277	281	526	676	723	413	472	466	636	595	566
snR48	VII	609584	609696	+	113	116	108	142	93	82	96	87	84	94	52	45	52	4047	4358	4371	3320	3540	3716	4283	4532	4679	4151	4397	4479
YGL063W	VII	383654	384766	+	1113	170	198	201	146	148	157	159	140	159	181	232	242	207	249	263	127	173	212	166	177	156	176	209	200
YGL154C	VII	215278	216096	-	819	132	172	151	180	181	177	194	219	203	233	304	269	162	167	180	176	145	233	173	187	182	186	221	285
YGL035C	VII	431548	433062	-	1515	1496	1630	1808	1429	1604	1678	1460	1719	1572	1783	1824	1836	1119	1331	1282	1431	1360	1340	1286	1243	1363	1912	1977	1920
YGR009C	VII	509047	511002	-	1956	519	609	589	801	906	864	785	843	878	1065	1106	1086	489	487	563	640	700	643	466	484	544	651	786	753
YGR034W	VII;VII	555812;556308	555830;556672	+;+	384	27250	29187	29358	22018	23978	24586	23705	24939	25729	21542	23297	23285	21872	23944	24473	22473	24214	25257	23563	24849	25471	23892	26158	26128
YGL064C	VII	381523	383208	-	1686	788	878	851	657	603	551	607	612	656	818	820	852	655	748	705	499	511	539	478	565	479	545	628	644
YGR118W	VII;VII	726974;727358	727038;727730	+;+	438	12594	13571	13879	13079	14245	14603	11824	12867	13105	11272	12103	12287	10779	11445	11722	11214	12118	12359	9968	10750	11005	11108	11835	12505
YGR277C	VII	1045644	1046561	-	918	689	692	820	667	790	709	730	780	886	912	959	956	592	571	634	603	634	644	654	774	679	707	828	826
YGR232W	VII	953960	954646	+	687	809	998	886	822	931	833	1135	1119	1135	1181	1192	1263	675	645	718	911	949	1003	901	952	1098	911	1047	983
YGR227W	VII	947420	948997	+	1578	828	887	899	817	905	875	858	877	827	809	860	816	716	823	862	772	841	856	778	849	801	840	904	921
YGL142C	VII	236269	238119	-	1851	1054	1181	1141	1094	1170	1226	1186	1228	1257	1097	1280	1242	1041	1175	1188	1159	1295	1302	1313	1449	1430	1395	1521	1559
YGL143C	VII	234717	235958	-	1242	576	590	650	667	670	784	744	837	870	925	1022	1062	372	461	416	523	496	545	512	596	556	560	596	551
YGR222W	VII	939923	940804	+	882	470	487	520	462	464	493	572	575	618	552	605	618	435	470	431	499	519	504	482	527	566	533	601	520
YGL045W	VII	414102	415730	+	1629	359	378	377	630	670	698	539	645	574	587	610	644	264	307	352	536	588	606	557	506	554	555	628	616
YGL253W	VII	23935	25395	+	1461	53693	58435	59374	54316	58875	59319	53963	56261	58012	63480	67753	67753	37350	40552	41225	49513	52987	54011	44897	48180	48840	56326	60613	61458
YGR257C	VII	1006205	1007305	-	1101	1777	1958	1908	1604	1604	1821	1843	1953	1909	2483	2574	2754	1231	1297	1342	1255	1423	1448	1433	1521	1519	1399	1640	1537
YGL131C	VII	261648	265859	-	4212	1284	1430	1433	1674	1704	1829	1335	1566	1578	1721	1901	1737	1088	1382	1272	1629	1697	1763	1295	1290	1472	1610	1661	1738
YGR064W	VII	617621	617989	+	369	15	32	25	12	27	20	14	15	13	21	18	24	22	25	36	41	43	38	44	23	25	31	22	29
YGR263C	VII	1017967	1019241	-	1275	277	276	376	309	360	329	341	410	439	446	486	436	149	188	209	211	232	240	205	251	231	245	287	272
YGL049C	VII	406860	409604	-	2745	2838	3104	3300	3057	3226	3247	2513	2736	2817	3277	3290	3480	2394	2727	2659	2680	2950	3216	2146	2381	2375	3058	3243	3538
YGR296C-B	VII	1089746	1090228	-	483	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YGL202W	VII	116059	117561	+	1503	6032	6597	6664	7652	8101	8146	5735	6292	6252	7137	7516	7585	6006	6464	6584	7592	7882	8017	6045	6482	6505	8267	8672	8800
YGL258W-A	VII	9162	9395	+	234	17	9	2	14	26	13	27	13	26	27	41	29	6	9	9	18	27	19	15	23	32	23	44	32
YGR133W	VII	756896	757447	+	552	164	188	234	156	199	186	184	182	201	187	231	241	105	170	185	185	158	158	229	187	203	141	199	211
YGR109C	VII	705359	706501	-	1143	178	230	199	163	215	178	184	199	181	176	183	197	109	107	102	102	135	120	120	127	105	91	81	117
YGR037C	VII	559731	559994	-	264	5399	5468	5663	4765	4831	4962	4439	4838	5031	4702	5027	4970	3919	4183	4140	4125	4321	4491	4278	4651	4710	4036	4207	4362
YGL077C	VII	362225	363916	-	1692	2697	2942	2888	2420	2656	2815	2285	2504	2519	2503	2526	2592	2338	2547	2604	2192	2354	2467	2567	2783	2751	2578	2699	2676
YGR111W	VII	715828	717030	+	1203	650	753	781	1026	1095	1002	957	1018	1027	1242	1347	1372	603	635	634	965	1124	1164	1042	1080	1036	1257	1332	1322
YGR016W	VII	522261	522833	+	573	130	108	79	102	109	114	125	123	103	122	114	141	84	69	104	74	87	112	91	122	95	90	103	100
YGR245C	VII	979765	982068	-	2304	3281	3540	3644	2379	2629	2728	1958	2148	2227	2811	3064	3095	2986	3342	3506	2380	2422	2507	1854	1981	2035	2571	2857	2863
YGR287C	VII	1067222	1068991	-	1770	234	257	247	280	355	316	411	439	444	501	507	535	222	239	196	406	382	407	397	430	409	439	487	412
YGL244W	VII	41498	43174	+	1677	366	425	379	721	821	727	476	544	443	490	511	520	325	365	399	432	440	531	287	314	338	398	387	445
YGL057C	VII	394966	395829	-	864	345	294	332	292	332	347	346	392	389	409	386	341	283	319	216	263	330	299	227	339	389	300	323	335
YGL187C	VII	149704	150171	-	468	366	422	369	578	619	616	602	652	673	564	601	567	348	384	378	777	816	771	1170	993	1066	973	959	1027
YGR180C	VII	855264	856301	-	1038	11578	12367	12575	13059	13981	14162	13501	14187	14093	16146	17595	17696	9683	10285	10577	12112	12790	12954	11583	12387	12313	14745	15730	15826
YGR116W	VII	720409	724764	+	4356	6464	7033	7116	6825	7593	7392	4965	5383	5468	6425	6671	6919	5190	5685	5685	5585	6200	6329	4127	4370	4421	5769	6050	6166
YGL181W	VII	157906	159096	+	1191	569	616	743	834	904	905	854	855	901	1358	1412	1409	490	544	554	784	906	871	716	714	750	912	1067	984
YGR202C	VII	903474	904748	-	1275	1501	1516	1530	1480	1591	1546	1438	1559	1423	1678	1858	1848	1211	1282	1296	1506	1424	1490	1305	1316	1465	1556	1593	1548
YGL127C	VII	270392	270775	-	384	272	284	243	327	358	307	280	322	257	291	296	302	194	240	203	294	244	313	233	237	282	254	246	276
YGR203W	VII	905237	905683	+	447	165	169	173	149	241	241	173	208	200	222	206	239	109	179	157	157	170	129	175	174	172	203	160	213
YGL150C	VII	221104	225573	-	4470	2748	2986	3043	3094	3492	3609	2437	2713	2652	3380	3592	3484	2074	2275	2317	2683	2653	2903	1796	1887	1971	2769	2905	2995
YGR134W	VII	757770	761138	+	3369	898	1054	1052	1184	1166	1223	1001	951	979	1109	1053	1090	890	927	1060	926	1006	970	852	951	955	972	1078	1062
YGR095C	VII	675671	676342	-	672	1088	1175	1304	905	1024	1081	947	1054	1088	1058	1288	1174	1094	1290	1225	980	1113	1170	1266	1416	1386	1260	1304	1421
YGR214W	VII;VII	920575;921120	920664;921788	+;+	759	27919	29710	30660	29752	32654	33007	27193	29877	30147	27480	29699	30322	23017	25085	25343	28259	30096	30819	26468	28476	28616	30223	32174	32759
YGR269W	VII	1026636	1026962	+	327	3	11	21	19	18	11	19	15	7	21	16	22	24	50	29	25	48	37	28	38	34	32	42	43
YGR176W	VII	848720	849067	+	348	6	10	9	11	2	2	2	13	8	3	9	2	23	21	24	8	4	16	10	15	13	21	15	17
YGL263W	VII	2790	3932	+	1143	150	155	213	127	119	114	186	210	222	168	205	194	177	216	224	195	171	238	202	233	222	187	241	210
YGR057C	VII	604773	605501	-	729	517	652	649	473	521	556	536	566	600	611	570	645	449	455	512	450	549	515	471	469	549	437	468	540
YGL074C	VII	368596	368922	-	327	0	0	0	0	2	4	0	0	2	0	0	0	0	4	1	0	2	4	2	6	0	5	3	8
YGR007W	VII	506969	507940	+	972	1381	1541	1565	1353	1545	1521	1487	1622	1538	1833	1944	1868	1252	1336	1343	1323	1319	1526	1129	1391	1247	1495	1483	1498
